MES;Total Exportaciones
1/07/1997;800
1/08/1997;629
1/09/1997;931
1/10/1997;742
1/11/1997;854
1/12/1997;1.301
1/01/1998;906
1/02/1998;693
1/03/1998;787
1/04/1998;897
1/05/1998;1.018
1/06/1998;1.030
1/07/1998;1.008
1/08/1998;797
1/09/1998;880
1/10/1998;1.017
1/11/1998;1.016
1/12/1998;1.211
1/01/1999;824
1/02/1999;882
1/03/1999;689
1/04/1999;948
1/05/1999;761
1/06/1999;809
1/07/1999;650
1/08/1999;790
1/09/1999;695
1/10/1999;861
1/11/1999;1.009
1/12/1999;1.077
1/01/2000;517
1/02/2000;642
1/03/2000;404
1/04/2000;731
1/05/2000;615
1/06/2000;869
1/07/2000;721
1/08/2000;938
1/09/2000;674
1/10/2000;831
1/11/2000;1.200
1/12/2000;1.064
1/01/2001;651
1/02/2001;838
1/03/2001;610
1/04/2001;748
1/05/2001;744
1/06/2001;747
1/07/2001;662
1/08/2001;658
1/09/2001;721
1/10/2001;1.127
1/11/2001;1.254
1/12/2001;1.217
1/01/2002;712
1/02/2002;874
1/03/2002;787
1/04/2002;757
1/05/2002;838
1/06/2002;816
1/07/2002;707
1/08/2002;814
1/09/2002;726
1/10/2002;830
1/11/2002;1.144
1/12/2002;1.268
1/01/2003;755
1/02/2003;894
1/03/2003;724
1/04/2003;835
1/05/2003;759
1/06/2003;914
1/07/2003;909
1/08/2003;722
1/09/2003;746
1/10/2003;887
1/11/2003;991
1/12/2003;1.154
1/01/2004;897
1/02/2004;973
1/03/2004;885
1/04/2004;806
1/05/2004;789
1/06/2004;821
1/07/2004;832
1/08/2004;735
1/09/2004;449
1/10/2004;888
1/11/2004;954
1/12/2004;1.233
1/01/2005;1.092
1/02/2005;1.167
1/03/2005;958
1/04/2005;859
1/05/2005;815
1/06/2005;839
1/07/2005;766
1/08/2005;759
1/09/2005;701
1/10/2005;751
1/11/2005;987
1/12/2005;1.177
1/01/2006;827
1/02/2006;943
1/03/2006;883
1/04/2006;623
1/05/2006;874
1/06/2006;881
1/07/2006;905
1/08/2006;938
1/09/2006;964
1/10/2006;964
1/11/2006;929
1/12/2006;1.216
1/01/2007;874
1/02/2007;990
1/03/2007;906
1/04/2007;753
1/05/2007;786
1/06/2007;893
1/07/2007;947
1/08/2007;977
1/09/2007;942
1/10/2007;844
1/11/2007;1.051
1/12/2007;1.338
1/01/2008;1.029
1/02/2008;1.194
1/03/2008;904
1/04/2008;914
1/05/2008;864
1/06/2008;946
1/07/2008;892
1/08/2008;642
1/09/2008;939
1/10/2008;839
1/11/2008;915
1/12/2008;1.007
1/01/2009;868
1/02/2009;943
1/03/2009;817
1/04/2009;550
1/05/2009;552
1/06/2009;642
1/07/2009;608
1/08/2009;474
1/09/2009;501
1/10/2009;535
1/11/2009;616
1/12/2009;788
1/01/2010;541
1/02/2010;590
1/03/2010;576
1/04/2010;588
1/05/2010;576
1/06/2010;648
1/07/2010;612
1/08/2010;599
1/09/2010;530
1/10/2010;632
1/11/2010;827
1/12/2010;1.105
1/01/2011;848
1/02/2011;651
1/03/2011;924
1/04/2011;580
1/05/2011;593
1/06/2011;576
1/07/2011;474
1/08/2011;384
1/09/2011;471
1/10/2011;603
1/11/2011;774
1/12/2011;857
1/01/2012;542
1/02/2012;560
1/03/2012;604
1/04/2012;494
1/05/2012;590
1/06/2012;613
1/07/2012;552
1/08/2012;583
1/09/2012;527
1/10/2012;582
1/11/2012;736
1/12/2012;787
1/01/2013;743
1/02/2013;719
1/03/2013;677
1/04/2013;686
1/05/2013;855
1/06/2013;673
1/07/2013;786
1/08/2013;931
1/09/2013;674
1/10/2013;877
1/11/2013;1.050
1/12/2013;1.002
1/01/2014;968
1/02/2014;989
1/03/2014;928
1/04/2014;822
1/05/2014;836
1/06/2014;761
1/07/2014;900
1/08/2014;881
1/09/2014;826
1/10/2014;970
1/11/2014;1.019
1/12/2014;1.056
1/01/2015;1.058
1/02/2015;1.057
1/03/2015;786
1/04/2015;957
1/05/2015;1.005
1/06/2015;1.006
1/07/2015;1.201
1/08/2015;1.078
1/09/2015;1.086
1/10/2015;1.173
1/11/2015;1.111
1/12/2015;1.196
1/01/2016;1.098
1/02/2016;1.113
1/03/2016;1.092
1/04/2016;931
1/05/2016;891
1/06/2016;935
1/07/2016;489
1/08/2016;1.273
1/09/2016;1.012
1/10/2016;1.230
1/11/2016;1.330
1/12/2016;1.450
1/01/2017;1.138
1/02/2017;1.182
1/03/2017;1.160
1/04/2017;898
1/05/2017;834
1/06/2017;947
1/07/2017;1.001
1/08/2017;1.204
1/09/2017;1.112
1/10/2017;1.123
1/11/2017;1.161
1/12/2017;1.222
1/01/2018;1.053
1/02/2018;1.098
1/03/2018;1.036
1/04/2018;925
1/05/2018;951
1/06/2018;915
1/07/2018;1.076
1/08/2018;1.025
1/09/2018;1.098
1/10/2018;1.058
1/11/2018;1.233
1/12/2018;1.283
1/01/2019;1.166
1/02/2019;1.246
1/03/2019;1.141
1/04/2019;872
1/05/2019;1.028
1/06/2019;1.110
1/07/2019;1.122
1/08/2019;1.214
1/09/2019;1.009
1/10/2019;1.211
1/11/2019;1.162
1/12/2019;1.386
1/01/2020;1.065
1/02/2020;1.078
1/03/2020;948
1/04/2020;642
1/05/2020;894
1/06/2020;1.111
1/07/2020;1.131
1/08/2020;1.131
1/09/2020;887
1/10/2020;1.052
1/11/2020;1.279
1/12/2020;1.309
1/01/2021;1.072
1/02/2021;1.274
1/03/2021;1.128
1/04/2021;1.035
1/05/2021;345
1/06/2021;890
1/07/2021;1.184
1/08/2021;1.131
1/09/2021;1.090
1/10/2021;987
1/11/2021;1.135
1/12/2021;1.167
1/01/2022;1.032
1/02/2022;983
1/03/2022;1.121
1/04/2022;848
1/05/2022;944
1/06/2022;939
1/07/2022;1.021
1/08/2022;872
1/09/2022;816
1/10/2022;944
1/11/2022;853
1/12/2022;1.035
1/01/2023;832
1/02/2023;929
1/03/2023;907
1/04/2023;723
1/05/2023;846
1/06/2023;753
